ID,w1,w2,w3,w4,type,fullTrial
1,teb,Rxb,Reb,txb,TT,teb Rxb Reb txb
2,txb,Reb,Rxb,teb,TT,txb Reb Rxb teb
3,Reb,txb,teb,Rxb,TT,Reb txb teb Rxb
4,Rxb,teb,txb,Reb,TT,Rxb teb txb Reb
5,tig,Rug,Rig,tug,TT,tig Rug Rig tug
6,tug,Rig,Rug,tig,TT,tug Rig Rug tig
7,Rig,tug,tig,Rug,TT,Rig tug tig Rug
8,Rug,tig,tug,Rig,TT,Rug tig tug Rig
9,veb,Lxb,Leb,vxb,TT,veb Lxb Leb vxb
10,vxb,Leb,Lxb,veb,TT,vxb Leb Lxb veb
11,Leb,vxb,veb,Lxb,TT,Leb vxb veb Lxb
12,Lxb,veb,vxb,Leb,TT,Lxb veb vxb Leb
13,vig,Lug,Lig,vug,TT,vig Lug Lig vug
14,vug,Lig,Lug,vig,TT,vug Lig Lug vig
15,Lig,vug,vig,Lug,TT,Lig vug vig Lug
16,Lug,vig,vug,Lig,TT,Lug vig vug Lig
17,teb,txb,Reb,Rxb,non,teb txb Reb Rxb
18,txb,teb,Rxb,Reb,non,txb teb Rxb Reb
19,Reb,Rxb,teb,txb,non,Reb Rxb teb txb
20,Rxb,Reb,txb,teb,non,Rxb Reb txb teb
21,tig,tug,Rig,Rug,non,tig tug Rig Rug
22,tug,tig,Rug,Rig,non,tug tig Rug Rig
23,Rig,Rug,tig,tug,non,Rig Rug tig tug
24,Rug,Rig,tug,tig,non,Rug Rig tug tig
25,veb,vxb,Leb,Lxb,non,veb vxb Leb Lxb
26,vxb,veb,Lxb,Leb,non,vxb veb Lxb Leb
27,Leb,Lxb,veb,vxb,non,Leb Lxb veb vxb
28,Lxb,Leb,vxb,veb,non,Lxb Leb vxb veb
29,vig,vug,Lig,Lug,non,vig vug Lig Lug
30,vug,vig,Lug,Lig,non,vug vig Lug Lig
31,Lig,Lug,vig,vug,non,Lig Lug vig vug
32,Lug,Lig,vug,vig,non,Lug Lig vug vig
